epoch,loss,weight_stage1_L1_loss,weight_stage1_L2_loss,weight_stage2_L1_loss,weight_stage2_L2_loss,weight_stage3_L1_loss,weight_stage3_L2_loss
0,633.9961105223955,171.44625101098,52.11868612035457,155.68783001392626,48.09999712585231,155.82046544242905,48.036362839767826
1,538.6542617029685,153.4686655039442,43.457863844325225,131.80856170972473,37.45956344934031,131.70502809189884,37.801003910936274
0,636.6549821541266,172.20427063009063,52.60777444160833,156.7038048889347,48.5141924759706,156.70995906457065,48.52473186756585
1,541.7977456601656,154.5635159589581,43.8787180011192,133.01391158657574,37.89814248375638,133.0433444866405,37.93148952752991
2,508.6073910664814,147.36769704328412,40.90982589293062,124.46173967225721,35.015994458041064,124.31290190309986,34.99863842128693
3,488.7118346669214,142.81348255795203,39.10906165710387,119.68840437808896,33.30017137770999,119.0687246014157,33.12430143892095
4,474.55909630811493,139.47238706771233,37.88329141400564,116.45550269548042,32.1234808731209,115.21310338561617,31.74042776989052
4,769.1066263398225,191.89912681073042,64.65442214306009,191.40819692173335,64.65770824823325,191.38282918231926,63.80967568750482
0,643.4632433175959,168.3976864787158,60.22857971503128,153.80913335626775,53.61581032934504,152.83820132605268,53.18157155196359
1,537.3409875201497,153.32227399473413,43.96577780531668,132.7441852947543,39.008969810571564,128.99736103477386,37.72737530327428
0,645.5989976726424,169.59845442702098,62.08016168206656,153.5480497293339,53.61212717484243,151.8582021020325,53.66410567219013
1,545.2115270389276,155.5181809770521,44.88748165957977,133.91776639050596,40.40130196293073,129.82112455903814,39.16983577610077
2,517.4923433713617,150.23044361741842,42.57637737249492,127.3038156942563,37.324760764319755,122.41214376572326,35.9558426438443
3,500.0532375669496,146.6600488436072,40.99445725201667,123.11190776935352,35.575284245471224,117.94994639473624,33.922531194820024
4,487.7422959065007,144.02304156637533,39.79264848427907,120.19991360418562,34.29723061433973,114.95605898406744,32.50786475044227
5,473.42814739618245,141.5267730806407,38.71194923187869,116.45832231396268,32.82152893772976,110.85343314077646,31.024154579310665
0,647.2910646276893,168.4839120903184,59.95570316645902,155.4290508235195,53.67559925893719,154.6581123022145,53.727891926543016
1,541.0614128073828,153.55042952633977,44.17334632756639,133.81590285802886,39.00372918609214,130.85818842003692,38.12638040541953
2,507.2512460357282,147.35952184960922,41.08290554107676,126.08756134531959,35.111211817646904,121.80390932253927,34.018973997023224
3,487.72901209414636,143.50789036034809,39.11115947563631,121.52369230671079,33.170691850926545,116.6868872559716,31.689823777325753
4,473.19455632491304,140.2980562443225,37.66314807082667,118.09459007245,31.749793382254353,112.9093422141252,30.21189238288835
5,456.20697941064105,137.19797451966141,36.38914646840964,113.78789010858065,29.99654655079879,108.00707182788426,28.44920060713355
6,451.24081910301885,136.10902928997555,35.970227882169645,112.56168265987263,29.571454755700604,106.62551721164391,28.007160275738215
7,447.6281989425228,135.25747303220746,35.622931671012694,111.68630921438839,29.26163137563849,105.70494400663443,27.679062387754126
8,444.61652108005086,134.4750742537252,35.30962600097553,110.97344949402125,29.02045820714829,104.96840220663391,27.4316673824322
9,439.2011005426289,133.50194719968542,34.93735251330907,109.60483376720872,28.499410822150413,103.32744024040994,26.88053360024317
10,437.60392853188443,133.15288181584182,34.812033003513854,109.18612198639696,28.37918802325645,102.88061439012807,26.74223602861217
11,440.6263734468766,133.81453518060587,35.14432070585672,109.92502421248231,28.67843958419888,103.58549709144725,27.025959083731173
12,439.0300864770699,133.39630594536038,35.02218627799803,109.50887513672124,28.571452056058703,103.16440343808105,26.91211543734235
13,437.05539594006694,133.06578294379312,34.902776023259484,108.99155069883072,28.397013615863763,102.52925220264802,26.713091928535956
0,584.6189398656786,142.63895297026122,62.36695642831742,134.16987182284683,55.475110029013415,133.96267398084797,54.67747190642365
1,489.00593242184175,131.02850527011663,44.390347935693136,117.56733139136797,40.178543027177085,115.55045412379866,38.86409044898932
2,461.2738869095238,126.67115318965945,41.50075453984563,111.76739197504695,36.22195897672223,108.75032755741668,34.72388222187524
3,443.9429239721821,123.67770065967429,39.485576085424114,108.03465229952705,33.949556538390596,104.60662726459756,32.32950570610132
4,432.0976922850565,121.49681510574605,38.06216167388906,105.36389354462928,32.51366655494552,101.71695880675584,30.885916184843257
5,417.88000506984565,119.18660305907704,36.759785261534084,101.99302637232051,30.763386135081834,97.93989246720395,29.077756031622155
6,413.7212146710976,118.38909179822579,36.34541513548849,100.99209144807892,30.327792933655303,96.8576568224254,28.632913892757013
7,410.58714726168483,117.7034574644396,35.98828065513063,100.27882993111693,30.00667036703991,96.1046790349309,28.309624102718782
8,408.06936500037574,117.19667483139168,35.66903865049191,99.74315155725476,29.70326641785437,95.52405634598541,28.01669723710764
9,403.46547197362054,116.42181599363406,35.30726277783569,98.62659495908629,29.194436439901214,94.20006640768392,27.4874554122026
0,618.5237719984252,142.86080666354695,76.4205698202287,133.03289414621105,66.35287054241779,132.54246950652836,65.93233121638806
1,512.2686194217566,131.62231575196643,56.97023147801213,117.3342577343617,45.92544823485164,114.84878401322798,44.01995410341205
2,480.1829772886874,127.09478172169764,52.67680814780059,111.45346236107177,40.73703997062914,107.89187689350298,38.543927710601004
3,461.963393567572,124.3532320411586,49.87560863059761,108.0334796639255,37.968604538202854,104.11686486519231,35.6007343294834
4,447.97468545593534,121.98029985645412,47.74323884589273,105.25994396112304,36.01626225511436,101.15890605278392,33.59454834911748
5,437.5927912679951,120.0773030437902,46.12934170347272,103.13501701575784,34.619809974485975,99.00359817520469,32.227277028386105
6,429.8602941848812,118.50572456305312,44.90380395558727,101.57192602212794,33.61334160586218,97.42467810761008,31.281112169545647
7,423.29640206586026,117.15132250995266,43.87674077871424,100.25658891344703,32.723136471289536,96.13428424059796,30.448165151266814
8,417.0620883607848,115.77023582471485,42.944748825551216,98.94924305651843,31.98415820842947,94.84350376044726,29.729715315468425
9,411.946125501997,114.56653772392441,42.16222902037556,97.85910808808714,31.404252043539948,93.80378615860229,29.18551094125313
10,407.7506486725799,113.54506378121874,41.50433904799142,97.01537877603336,30.91036390876705,92.97301023364432,28.721929458602578
11,397.23939545851886,112.05842506686643,40.283194340935445,94.79857861756223,29.411776109824668,90.43843387997309,27.12115307393267
12,394.4353728406398,111.51157717628466,39.95139107657079,94.17058325284673,29.088780947027054,89.79435622696167,26.802667228794846
13,392.49863209138323,111.06084645017702,39.72239431264979,93.75073781206692,28.878198000862763,89.38028808998989,26.59663078092498
